chance_of_playing_next_round, chance_of_playing_this_round, code, cost_change_event, cost_change_event_fall, cost_change_start, cost_change_start_fall, dreamteam_count, element_type, ep_next, ep_this, event_points, first_name, form, id, in_dreamteam, news, news_added, now_cost, photo, points_per_game, second_name, selected_by_percent, special, squad_number, status, team, team_code, total_points, transfers_in, transfers_in_event, transfers_out, transfers_out_event, value_form, value_season, web_name, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index,
None, None, 146610, 0, 0, 1, -1, 1, 2, 2.8, 1.8, 2, Jack, 2.8, 293, False, , None, 46, 146610.jpg, 3.3, O'Connell, 2.6, False, None, a, 15, 49, 79, 301899, 21270, 152365, 9723, 0.6, 17.2, O'Connell, 2160, 0, 1, 8, 23, 0, 0, 0, 3, 0, 0, 5, 410, 442.4, 167.5, 186.0, 79.7, 
None, None, 82691, 0, 0, 6, -6, 1, 2, 2.5, 1.5, 2, George, 2.5, 294, False, , None, 51, 82691.jpg, 4.2, Baldock, 11.0, False, None, a, 15, 49, 100, 1103947, 41806, 356195, 30069, 0.5, 19.6, Baldock, 2160, 2, 4, 8, 23, 0, 0, 0, 5, 0, 0, 7, 393, 390.2, 271.5, 166.0, 82.8, 
100, 100, 108416, 0, 0, 0, 0, 0, 2, 2.8, 1.8, 2, John, 2.8, 295, False, , 2019-11-18T23:00:14.538560Z, 45, 108416.jpg, 3.2, Egan, 1.2, False, None, a, 15, 49, 74, 120940, 11916, 52353, 4916, 0.6, 16.4, Egan, 2058, 0, 0, 8, 20, 0, 0, 0, 2, 0, 0, 3, 365, 376.8, 9.8, 271.0, 65.8, 
0, 0, 18832, 0, 0, -1, 1, 0, 2, 0.0, 0.0, 0, Richard, 0.0, 296, False, Contract terminated by mutual consent on 10/1, 2020-01-10T20:30:14.424021Z, 39, 18832.jpg, 0.0, Stearman, 2.3, False, None, u, 15, 49, 0, 123263, 1337, 158367, 5715, 0.0, 0.0, Stearman, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
100, 100, 153723, 0, 0, 11, -11, 4, 2, 2.5, 1.5, 1, John, 2.5, 297, False, , 2019-12-29T18:30:20.904666Z, 51, 153723.jpg, 4.7, Lundstram, 46.7, False, None, a, 15, 49, 107, 3490802, 38221, 829457, 45918, 0.5, 21.0, Lundstram, 1915, 3, 3, 8, 20, 0, 0, 0, 4, 0, 0, 12, 404, 356.0, 302.3, 327.0, 98.8, 
100, 100, 18867, 0, 0, -4, 4, 0, 4, 1.0, 0.0, 1, Billy, 1.0, 298, False, , 2019-09-14T17:00:16.602437Z, 56, 18867.jpg, 1.3, Sharp, 0.3, False, None, a, 15, 49, 18, 52248, 299, 98895, 298, 0.2, 3.2, Sharp, 381, 1, 0, 0, 4, 0, 0, 0, 1, 1, 0, 3, 48, 54.0, 106.6, 98.0, 25.5, 
100, 100, 213280, 0, 0, -2, 2, 0, 1, 0.0, -1.0, 0, Jake, 0.0, 299, False, , 2019-10-21T21:30:15.275741Z, 43, 213280.jpg, 0.0, Eastwood, 0.1, False, None, a, 15, 49, 0, 1929, 52, 13696, 110, 0.0, 0.0, Eastwood, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
0, 0, 59614, 0, 0, -3, 3, 0, 3, 0.0, 0.0, 0, Mark, 0.0, 300, False, Joined Stoke City on loan until the end of the season on 8/8. - Expected back 01 Jul, 2019-08-08T17:30:15.368429Z, 52, 59614.jpg, 0.0, Duffy, 0.0, False, None, n, 15, 49, 0, 280, 7, 5179, 12, 0.0, 0.0, Duffy, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
100, 100, 47247, 0, 0, 0, 0, 4, 3, 5.5, 4.5, 1, John, 5.5, 301, False, , 2019-12-14T17:00:24.844524Z, 50, 47247.jpg, 4.0, Fleck, 5.5, False, None, a, 15, 49, 85, 555926, 100964, 176384, 21437, 1.1, 17.0, Fleck, 1828, 5, 2, 6, 19, 0, 0, 0, 6, 0, 0, 13, 376, 448.6, 489.1, 349.0, 128.8, 
None, None, 79934, 0, 0, -1, 1, 1, 3, 1.8, 0.8, 1, Oliver, 1.8, 302, False, , None, 49, 79934.jpg, 2.6, Norwood, 0.3, False, None, a, 15, 49, 62, 40577, 1003, 44105, 1137, 0.4, 12.7, Norwood, 2013, 1, 1, 8, 23, 0, 0, 0, 6, 0, 0, 4, 380, 435.6, 543.8, 77.0, 105.7, 
75, 75, 27436, 0, 0, -1, 1, 0, 4, 0.6, -0.1, 0, David, 0.8, 303, False, Foot injury - 75% chance of playing, 2020-01-18T17:00:22.896052Z, 54, 27436.jpg, 2.1, McGoldrick, 0.2, False, None, d, 15, 49, 40, 43320, 58, 48672, 1063, 0.1, 7.4, McGoldrick, 1314, 0, 2, 5, 13, 0, 0, 0, 2, 0, 0, 3, 100, 194.4, 180.2, 437.0, 81.0, 
None, None, 40386, 0, 0, 0, 0, 0, 2, 2.8, 1.8, 2, Chris, 2.8, 423, False, , None, 45, 40386.jpg, 3.0, Basham, 0.8, False, None, a, 15, 49, 72, 78052, 4060, 38179, 2346, 0.6, 16.0, Basham, 2072, 0, 0, 8, 23, 0, 0, 0, 4, 0, 0, 2, 369, 406.6, 93.9, 71.0, 57.4, 
100, 100, 74854, 0, 0, -2, 2, 0, 1, 0.0, -1.0, 0, Simon, 0.0, 436, False, , 2019-12-22T12:00:21.115265Z, 43, 74854.jpg, 1.0, Moore, 0.1, False, None, a, 15, 49, 1, 3385, 148, 6219, 115, 0.0, 0.2, Moore, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 9, 7.8, 0.0, 0.0, 0.8, 
None, None, 49083, 0, 0, -4, 4, 0, 3, 0.0, -1.0, 0, Luke, 0.0, 441, False, , None, 51, 49083.jpg, 1.2, Freeman, 0.1, False, None, a, 15, 49, 11, 3422, 81, 9424, 121, 0.0, 2.2, Freeman, 322, 0, 0, 1, 4, 0, 0, 0, 2, 0, 0, 0, 32, 43.6, 75.1, 17.0, 13.6, 
None, None, 7645, 0, 0, -3, 3, 0, 2, 0.0, -1.0, 0, Phil, 0.0, 444, False, , None, 42, 7645.jpg, 1.0, Jagielka, 0.4, False, None, a, 15, 49, 4, 15648, 178, 44762, 478, 0.0, 1.0, Jagielka, 128, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 31, 39.0, 4.7, 2.0, 4.5, 
0, 100, 171975, 0, 0, -5, 5, 1, 3, 0.0, -0.5, 1, Callum, 0.5, 453, False, Joined West Bromwich Albion on loan until the end of the season on 29/1. - Expected back 01 Jul, 2020-01-29T10:30:22.129197Z, 50, 171975.jpg, 2.1, Robinson, 0.2, False, None, n, 15, 49, 33, 49833, 60, 94846, 574, 0.1, 6.6, Callum Robinson, 669, 1, 2, 2, 6, 0, 0, 0, 1, 0, 0, 1, 73, 79.8, 72.8, 156.0, 30.4, 
None, None, 90518, 0, 0, -4, 4, 0, 3, 0.0, -1.0, 0, Ravel, 0.0, 456, False, , None, 46, 90518.jpg, 1.0, Morrison, 0.1, False, None, a, 15, 49, 1, 4226, 126, 12951, 165, 0.0, 0.2, Morrison, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6, 4.0, 0.2, 
100, 100, 172649, 1, -1, 5, -5, 3, 1, 5.5, 4.5, 11, Dean, 5.5, 471, True, , 2019-11-09T17:30:13.445733Z, 50, 172649.jpg, 4.4, Henderson, 12.8, False, None, a, 15, 49, 101, 1142492, 175865, 395425, 9907, 1.1, 20.2, Henderson, 2070, 0, 1, 8, 20, 0, 1, 0, 2, 0, 61, 8, 435, 443.8, 0.0, 18.0, 46.2, 
None, None, 167878, 0, 0, -3, 3, 0, 3, 0.0, -1.0, 0, Ben, 0.0, 472, False, , None, 47, 167878.jpg, 1.0, Osborn, 0.0, False, None, a, 15, 49, 4, 1086, 48, 2875, 51, 0.0, 0.9, Osborn, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10.6, 22.2, 4.0, 3.7, 
100, 100, 169432, 0, 0, -3, 3, 0, 4, 2.8, 1.8, 1, Oliver, 2.8, 501, False, , 2019-10-08T09:00:11.047638Z, 57, 169432.jpg, 2.3, McBurnie, 0.2, False, None, a, 15, 49, 50, 29380, 2824, 27234, 1355, 0.5, 8.8, McBurnie, 1069, 4, 0, 5, 13, 0, 0, 0, 3, 0, 0, 4, 177, 252.0, 89.0, 383.0, 72.2, 
100, 100, 194126, 0, 0, -1, 1, 0, 1, 0.0, -1.0, 0, Michael, 0.0, 521, False, , 2020-01-05T22:00:20.835811Z, 44, 194126.jpg, 0.0, Verrips, 0.0, False, None, a, 15, 49, 0, 902, 85, 1882, 54, 0.0, 0.0, Verrips, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
100, 100, 87447, 0, 0, -1, 1, 0, 3, 0.8, -0.2, 1, Muhamed, 0.8, 522, False, , 2019-09-19T11:30:17.999997Z, 44, 87447.jpg, 1.0, Bešić, 0.1, False, None, a, 15, 49, 9, 8999, 299, 16321, 238, 0.2, 2.0, Bešić, 243, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 40, 34.2, 21.5, 29.0, 8.5, 
None, None, 18440, -1, 1, -1, 1, 0, 4, 0.0, -1.0, 0, Leon, 0.0, 547, False, , None, 44, 18440.jpg, 1.0, Clarke, 0.1, False, None, a, 15, 49, 1, 11173, 152, 8831, 222, 0.0, 0.2, Clarke, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0.0, 0.3, 4.0, 0.3, 
None, None, 49384, 0, 0, 0, 0, 0, 3, 0.0, -1.0, 0, Jack, 0.0, 591, False, , None, 45, 49384.jpg, 0.0, Rodwell, 0.0, False, None, a, 15, 49, 0, 604, 86, 236, 64, 0.0, 0.0, Rodwell, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
